step,layer,p9999_mean,top001_mean,max_mean,massive1_mean
0,1,0.7029845120614036,0.4343806625458232,6.00186403508772,8.569053171985082
0,8,2.473005756578947,1.552894463873746,22.51984649122807,9.091228373679426
0,16,3.7726768092105263,2.635334539413452,20.648684210526316,5.472575053714924
0,23,6.924643640350877,4.70581493043063,33.51875,4.834088793451448
0,27,19.34188596491228,12.28923631300006,142.08004385964912,7.351883250524635
0,31,55.35997807017544,41.692001476622465,476.8412280701754,8.639176015865162
4,1,0.7088850054824561,0.4365310200473718,6.007154605263158,8.507492491342251
4,8,2.47270079495614,1.55208712209735,22.475027412280703,9.073365184919856
4,16,3.7825178179824563,2.6384362245860853,20.681798245614036,5.467606175948273
4,23,6.8536321271929825,4.685537142502634,34.21842105263158,4.986655659558703
4,27,19.141173245614034,12.232022663584926,140.37894736842105,7.33929445271425
4,31,54.925877192982455,41.3491504602265,469.5798245614035,8.57808897519936
16,1,0.714562774122807,0.437816213724906,6.017516447368421,8.456896689596578
16,8,2.4792009320175437,1.556850484797829,22.47423245614035,9.04782721847225
16,16,3.7754591557017543,2.629039490013792,20.67516447368421,5.476804396260154
16,23,6.838733552631579,4.691522870983994,36.510252192982456,5.336741252696631
16,27,18.792927631578948,12.092175978945013,135.56315789473683,7.219913942047298
16,31,53.2405701754386,40.15041995132179,467.00701754385966,8.796816996318837
32,1,0.7164799205043859,0.43896993565977666,6.037733004385965,8.459053534378114
32,8,2.483288788377193,1.5598315134383085,22.394435307017545,9.001342520620419
32,16,3.784745065789474,2.6319876361311527,20.849890350877192,5.509281144821038
32,23,6.8566337719298245,4.708006653032805,37.29588815789474,5.43803522524005
32,27,18.498026315789474,11.956845092773438,132.95043859649124,7.191886923776463
32,31,51.71052631578947,39.091022919771966,466.9763157894737,9.052120195195101
63,1,0.7140847724780702,0.4365067727733077,6.127206688596491,8.608489241772283
63,8,2.490748355263158,1.5632948716481527,22.177412280701756,8.893083738339554
63,16,3.638479989035088,2.5243968177260014,20.642571271929825,5.6746308542040556
63,23,6.872012061403509,4.717949937519275,38.84073464912281,5.646013977138656
63,27,17.53234649122807,11.40322781278376,123.25109649122807,7.02091346765644
63,31,47.173355263157895,36.14893346418414,464.2675438596491,9.860684705805296
