sample,step,layer,module,mean,max,p99,p999,p9999,top001_mean,massive_score_1,massive_score_2
sample_00000,0,1,ff_out_INPUT,0.006003161892294884,6.546875,0.060546875,0.2108154296875,0.65283203125,0.4033064544200897,10.028421686326045,1090.569305270596
sample_00000,0,8,ff_out_INPUT,0.042838264256715775,14.953125,0.254638671875,0.7001953125,1.9658203125,1.2268034219741821,7.606557338355119,349.05992968789565
sample_00000,0,16,ff_out_INPUT,0.11627885699272156,22.4375,0.64111328125,1.7568359375,3.837890625,2.6386537551879883,5.8463104173368405,192.96283650067272
sample_00000,0,23,ff_out_INPUT,0.1864820122718811,34.5,1.1845703125,3.05859375,6.98046875,4.66590690612793,4.94236149263993,185.00442873630357
sample_00000,0,27,ff_out_INPUT,0.22534437477588654,134.25,1.73828125,6.53125,18.234375,11.529211044311523,7.362467862286222,595.7548049556091
sample_00000,0,31,ff_out_INPUT,0.6734718084335327,476.75,8.84375,28.59375,53.0625,39.267723083496094,8.984687866386867,707.8989602102439
sample_00000,4,1,ff_out_INPUT,0.006025427486747503,6.546875,0.0606689453125,0.21142578125,0.65673828125,0.4051245152950287,9.96877308240857,1086.5393615649252
sample_00000,4,8,ff_out_INPUT,0.04281502217054367,15.03125,0.254638671875,0.69921875,1.9580078125,1.2250078916549683,7.676807940842637,351.0741260248627
sample_00000,4,16,ff_out_INPUT,0.11673551797866821,20.75,0.64208984375,1.7685546875,3.845703125,2.649803876876831,5.3956322866299455,177.75222641552426
sample_00000,4,23,ff_out_INPUT,0.18740680813789368,35.5,1.19140625,3.0625,6.79296875,4.627757549285889,5.225991941702968,189.42747309160944
sample_00000,4,27,ff_out_INPUT,0.2265399545431137,134.625,1.7568359375,6.5625,18.078125,11.45161247253418,7.446845285422661,594.2660063159805
sample_00000,4,31,ff_out_INPUT,0.673409104347229,462.5,8.8125,28.640625,53.28125,39.5178337097168,8.6803519045292,686.8038910467162
sample_00000,16,1,ff_out_INPUT,0.006072865333408117,6.56640625,0.06097412109375,0.212158203125,0.65869140625,0.40669190883636475,9.968865675194685,1081.2680796980746
sample_00000,16,8,ff_out_INPUT,0.04330094903707504,15.09375,0.2568359375,0.70556640625,1.978515625,1.2345390319824219,7.628825232912551,348.57772981601784
sample_00000,16,16,ff_out_INPUT,0.11525733768939972,21.171875,0.63134765625,1.73046875,3.77734375,2.606938362121582,5.604963790745908,183.69219337802954
sample_00000,16,23,ff_out_INPUT,0.18642261624336243,36.46875,1.1943359375,3.078125,6.91796875,4.665256977081299,5.271597959629989,195.62405452003694
sample_00000,16,27,ff_out_INPUT,0.22928813099861145,111.75,1.78515625,6.6328125,18.5,11.679192543029785,6.040540537275383,487.3780192612611
sample_00000,16,31,ff_out_INPUT,0.6627742648124695,464.0,8.5859375,27.703125,50.28125,37.89818572998047,9.228091980762592,700.0875224544401
sample_00000,32,1,ff_out_INPUT,0.006138332188129425,6.58203125,0.061370849609375,0.212890625,0.66064453125,0.408697247505188,9.963044934188352,1072.2815783598053
sample_00000,32,8,ff_out_INPUT,0.04350882023572922,15.03125,0.257080078125,0.70703125,1.9873046875,1.2388019561767578,7.563636325576592,345.4758475132806
sample_00000,32,16,ff_out_INPUT,0.11429557204246521,21.15625,0.62841796875,1.720703125,3.798828125,2.6107194423675537,5.569151656290973,185.1012053304006
sample_00000,32,23,ff_out_INPUT,0.18666817247867584,36.875,1.2060546875,3.1328125,7.1015625,4.759706974029541,5.192519244613394,197.54303872440843
sample_00000,32,27,ff_out_INPUT,0.22762629389762878,121.0625,1.7666015625,6.5546875,18.25,11.513110160827637,6.633561640200788,531.8475849541795
sample_00000,32,31,ff_out_INPUT,0.6684744358062744,466.0,8.7265625,27.671875,49.71875,37.77553176879883,9.372721556882922,697.1096695221286
sample_00000,63,1,ff_out_INPUT,0.006259915418922901,6.74609375,0.062164306640625,0.215087890625,0.66455078125,0.4122132956981659,10.15135914188109,1077.663597973145
sample_00000,63,8,ff_out_INPUT,0.043365079909563065,15.140625,0.255126953125,0.70263671875,1.962890625,1.2304755449295044,7.713432796524601,349.14317096022256
sample_00000,63,16,ff_out_INPUT,0.11185562610626221,22.328125,0.615234375,1.67578125,3.650390625,2.5285422801971436,6.116639897636599,199.61555606181892
sample_00000,63,23,ff_out_INPUT,0.18456940352916718,43.15625,1.19921875,3.103515625,6.7734375,4.669283866882324,6.371395607663914,233.82124467324104
sample_00000,63,27,ff_out_INPUT,0.227826789021492,109.5,1.796875,6.546875,17.296875,11.210164070129395,6.330623302573081,480.6282688002404
sample_00000,63,31,ff_out_INPUT,0.6533570885658264,468.25,8.40625,25.984375,46.5625,35.34891891479492,10.056375836766415,716.6831140701585
sample_00001,0,1,ff_out_INPUT,0.006005667150020599,6.54296875,0.060638427734375,0.21142578125,0.6494140625,0.40673592686653137,10.075187814782069,1089.4639499523475
sample_00001,0,8,ff_out_INPUT,0.04176022484898567,13.2890625,0.25048828125,0.6865234375,1.9365234375,1.2046666145324707,6.8623297678919535,318.22288710914137
sample_00001,0,16,ff_out_INPUT,0.11515403538942337,20.84375,0.6328125,1.7197265625,3.74609375,2.5793232917785645,5.564129286502428,181.00753585782797
sample_00001,0,23,ff_out_INPUT,0.18637123703956604,34.4375,1.1728515625,3.01171875,6.734375,4.5666704177856445,5.113689087534198,184.77903940133547
sample_00001,0,27,ff_out_INPUT,0.22609511017799377,127.5625,1.7548828125,6.50390625,18.046875,11.517230987548828,7.06839826448158,564.198377654397
sample_00001,0,31,ff_out_INPUT,0.6698737144470215,488.0,8.8828125,29.046875,54.4375,39.984249114990234,8.964408723956021,728.4955092138333
sample_00001,4,1,ff_out_INPUT,0.006028176285326481,6.54296875,0.060791015625,0.2119140625,0.654296875,0.40845921635627747,9.999999847164181,1085.3959118560383
sample_00001,4,8,ff_out_INPUT,0.04181087017059326,13.2890625,0.250732421875,0.68603515625,1.9296875,1.2038707733154297,6.8866396404255115,317.83742522948756
sample_00001,4,16,ff_out_INPUT,0.11597635596990585,22.359375,0.63671875,1.7294921875,3.751953125,2.5906872749328613,5.9593961319562165,192.79251262107942
sample_00001,4,23,ff_out_INPUT,0.18756289780139923,34.03125,1.185546875,3.048828125,6.69140625,4.584092140197754,5.085814353170061,181.43912567208625
sample_00001,4,27,ff_out_INPUT,0.22820040583610535,126.6875,1.779296875,6.55078125,17.78125,11.445960998535156,7.124780312337557,555.1589357794492
sample_00001,4,31,ff_out_INPUT,0.6673047542572021,473.5,8.7890625,28.890625,53.96875,39.79534149169922,8.77359582929499,709.570836838049
sample_00001,16,1,ff_out_INPUT,0.006066464819014072,6.55078125,0.061004638671875,0.2125244140625,0.65576171875,0.4105096459388733,9.989575424730821,1079.8332549684328
sample_00001,16,8,ff_out_INPUT,0.042492713779211044,13.28125,0.25390625,0.69580078125,1.9501953125,1.218338131904602,6.810215288063794,312.5535107847725
sample_00001,16,16,ff_out_INPUT,0.11641789972782135,21.171875,0.63330078125,1.708984375,3.6953125,2.5540316104888916,5.729386876673118,181.86097868874882
sample_00001,16,23,ff_out_INPUT,0.1891021430492401,41.8125,1.201171875,3.07421875,6.71484375,4.6024651527404785,6.226876081477136,221.11065012100886
sample_00001,16,27,ff_out_INPUT,0.2322733849287033,122.4375,1.8349609375,6.68359375,17.53125,11.436944961547852,6.983957215267617,527.1266648407253
sample_00001,16,31,ff_out_INPUT,0.6586134433746338,463.25,8.5703125,28.21875,53.1875,38.8169059753418,8.709753229854805,703.3716023053862
sample_00001,32,1,ff_out_INPUT,0.0061266920529305935,6.578125,0.0614013671875,0.21337890625,0.6611328125,0.4142412841320038,9.949778283772924,1073.681230647323
sample_00001,32,8,ff_out_INPUT,0.04241354390978813,13.4140625,0.252685546875,0.6923828125,1.93359375,1.2120990753173828,6.937373701495603,316.26829783071594
sample_00001,32,16,ff_out_INPUT,0.11666060239076614,21.15625,0.63916015625,1.7236328125,3.72265625,2.575347661972046,5.6831059658460115,181.3486965860857
sample_00001,32,23,ff_out_INPUT,0.1899285465478897,39.3125,1.2099609375,3.087890625,6.66796875,4.600029468536377,5.8957234826637075,206.98572513021503
sample_00001,32,27,ff_out_INPUT,0.23694370687007904,126.0625,1.880859375,6.6328125,17.3125,11.250883102416992,7.281588443447458,532.0356313525823
sample_00001,32,31,ff_out_INPUT,0.6609154343605042,460.75,8.4609375,27.171875,48.96875,37.14822769165039,9.409061899801596,697.1391029389812
sample_00001,63,1,ff_out_INPUT,0.006360327824950218,6.734375,0.06304931640625,0.215576171875,0.66259765625,0.4201495945453644,10.163596014627526,1058.807752881068
sample_00001,63,8,ff_out_INPUT,0.04312935471534729,13.3359375,0.2548828125,0.70068359375,1.953125,1.224987268447876,6.82799996504064,309.2078352652966
sample_00001,63,16,ff_out_INPUT,0.1119653582572937,20.921875,0.61376953125,1.6728515625,3.658203125,2.523076295852661,5.719167095951876,186.86023478190185
