sample,step,layer,name,cosine,relative_l2,max_abs_diff,mean_abs_diff
sample_00000,0,16,block_out,0.9194499850273132,0.3944531977176666,237.70172119140625,0.5504398345947266
sample_00000,0,1,block_out,1.0010557174682617,0.0005222592153586447,0.033203125,0.00016162350948434323
sample_00000,0,23,block_out,0.8057454824447632,0.6026425361633301,420.30499267578125,1.1090964078903198
sample_00000,0,27,block_out,0.8472088575363159,0.5368912220001221,500.0966796875,1.6605905294418335
sample_00000,0,31,block_out,0.8417450189590454,0.5705353617668152,644.3977661132812,3.141908645629883
sample_00000,0,8,block_out,0.9955618977546692,0.10408588498830795,2.87451171875,0.09863675385713577
sample_00000,16,16,block_out,0.8924722671508789,0.4529469609260559,520.009033203125,0.5736488699913025
sample_00000,16,1,block_out,0.9950491189956665,0.10934761166572571,27.01953125,0.008585257455706596
sample_00000,16,23,block_out,0.7728079557418823,0.648292064666748,626.1561279296875,1.1669626235961914
sample_00000,16,27,block_out,0.811989963054657,0.5914720296859741,742.9842529296875,1.8006261587142944
sample_00000,16,31,block_out,0.7941979169845581,0.6478487849235535,660.9388427734375,3.4433624744415283
sample_00000,16,8,block_out,0.9822161197662354,0.1943156123161316,238.759033203125,0.11525464057922363
sample_00000,32,16,block_out,0.8918123841285706,0.45444491505622864,541.81005859375,0.5721670389175415
sample_00000,32,1,block_out,0.9900405406951904,0.1479395478963852,26.1171875,0.014767689630389214
sample_00000,32,23,block_out,0.7752568125724792,0.6455250978469849,649.9814453125,1.166311502456665
sample_00000,32,27,block_out,0.8173996210098267,0.5839207172393799,748.2412109375,1.776044487953186
sample_00000,32,31,block_out,0.7981705665588379,0.6441630721092224,629.2332153320312,3.3733367919921875
sample_00000,32,8,block_out,0.9796143174171448,0.2078329175710678,250.2900390625,0.12186665832996368
sample_00000,4,16,block_out,0.899053692817688,0.43948736786842346,487.404296875,0.5639403462409973
sample_00000,4,1,block_out,0.9989292621612549,0.06504750996828079,22.4404296875,0.0032691096421331167
sample_00000,4,23,block_out,0.7827847003936768,0.6346668601036072,558.912109375,1.1467796564102173
sample_00000,4,27,block_out,0.8287942409515381,0.5661811232566833,599.57421875,1.7434279918670654
sample_00000,4,31,block_out,0.8110962510108948,0.6241874694824219,661.79833984375,3.3289363384246826
sample_00000,4,8,block_out,0.9863033890724182,0.17133177816867828,227.972412109375,0.10473551601171494
sample_00000,63,16,block_out,0.9061980247497559,0.4247991442680359,311.409423828125,0.5522603988647461
sample_00000,63,1,block_out,0.9866130352020264,0.169435515999794,29.1417236328125,0.02099674567580223
sample_00000,63,23,block_out,0.8000916242599487,0.610515832901001,419.3040771484375,1.1561557054519653
sample_00000,63,27,block_out,0.8369677662849426,0.5560702085494995,497.0325927734375,1.7230812311172485
sample_00000,63,31,block_out,0.7968223690986633,0.6376140117645264,612.6692504882812,3.1458852291107178
sample_00000,63,8,block_out,0.9834314584732056,0.18900221586227417,159.440673828125,0.12250330299139023
sample_00001,0,16,block_out,0.9214614629745483,0.38971954584121704,244.14794921875,0.535409688949585
sample_00001,0,1,block_out,1.0010037422180176,0.0005223694024607539,0.03515625,0.00016247104213107377
sample_00001,0,23,block_out,0.8056207299232483,0.6031084060668945,426.30419921875,1.1015691757202148
sample_00001,0,27,block_out,0.843995213508606,0.5432534217834473,505.694580078125,1.6798030138015747
sample_00001,0,31,block_out,0.8379189968109131,0.5777975916862488,688.1392822265625,3.2049503326416016
sample_00001,0,8,block_out,0.9957996606826782,0.1008375734090805,2.896484375,0.09574460238218307
sample_00001,16,16,block_out,0.8840539455413818,0.4701996445655823,604.943115234375,0.5783236026763916
sample_00001,16,1,block_out,0.995076060295105,0.10858450829982758,26.91015625,0.00873430073261261
sample_00001,16,23,block_out,0.7588279247283936,0.6693233251571655,745.53515625,1.1900415420532227
sample_00001,16,27,block_out,0.7939122319221497,0.6174992918968201,887.74609375,1.871553897857666
sample_00001,16,31,block_out,0.7588051557540894,0.7018981575965881,714.8816528320312,3.6541240215301514
sample_00001,16,8,block_out,0.9805976748466492,0.2022075206041336,256.0612487792969,0.1131075918674469
sample_00001,32,16,block_out,0.8756548166275024,0.48727747797966003,647.125244140625,0.5931892395019531
sample_00001,32,1,block_out,0.9908004999160767,0.1422877013683319,25.908203125,0.014844768680632114
sample_00001,32,23,block_out,0.7444148659706116,0.6910869479179382,842.3165893554688,1.2186992168426514
sample_00001,32,27,block_out,0.7763770818710327,0.6417092680931091,992.950439453125,1.9219247102737427
sample_00001,32,31,block_out,0.7308030128479004,0.7325343489646912,563.2244873046875,3.7393314838409424
sample_00001,32,8,block_out,0.9778976440429688,0.21567848324775696,231.725830078125,0.12012913078069687
sample_00001,4,16,block_out,0.8940551280975342,0.4497223496437073,479.67266845703125,0.5501564741134644
sample_00001,4,1,block_out,0.9988585710525513,0.06536755710840225,21.1923828125,0.003406536066904664
sample_00001,4,23,block_out,0.768652081489563,0.6545214056968689,771.6848754882812,1.140693187713623
sample_00001,4,27,block_out,0.8213961124420166,0.5777738690376282,941.4716796875,1.7514060735702515
sample_00001,4,31,block_out,0.8065897226333618,0.6356417536735535,690.9783935546875,3.3591816425323486
sample_00001,4,8,block_out,0.9870265126228333,0.16642965376377106,206.654296875,0.10212438553571701
sample_00001,63,16,block_out,0.8893817663192749,0.461177259683609,449.72662353515625,0.566126823425293
sample_00001,63,1,block_out,0.9834574460983276,0.18646779656410217,27.8218994140625,0.02372322790324688
sample_00001,63,23,block_out,0.7790617346763611,0.6438226699829102,564.7666625976562,1.1627322435379028
sample_00001,63,27,block_out,0.8159911036491394,0.5892056226730347,720.3955688476562,1.770897388458252
sample_00001,63,31,block_out,0.7708372473716736,0.6694592237472534,648.117431640625,3.3023629188537598
sample_00001,63,8,block_out,0.9790477752685547,0.21253442764282227,152.816650390625,0.12624844908714294
sample_00002,0,16,block_out,0.9219948053359985,0.3883659839630127,252.01953125,0.5371354222297668
sample_00002,0,1,block_out,1.0009211301803589,0.0005199623410589993,0.037109375,0.00016594123735558242
sample_00002,0,23,block_out,0.8070088028907776,0.5996135473251343,426.99420166015625,1.104862928390503
sample_00002,0,27,block_out,0.8454462289810181,0.539895236492157,505.583984375,1.6815321445465088
sample_00002,0,31,block_out,0.8416274785995483,0.5713224411010742,628.7518920898438,3.1811435222625732
sample_00002,0,8,block_out,0.995603084564209,0.10208426415920258,2.6884765625,0.09825010597705841
sample_00002,16,16,block_out,0.8903988599777222,0.45774704217910767,480.54638671875,0.564295768737793
sample_00002,16,1,block_out,0.9947328567504883,0.11107327789068222,26.828125,0.009458811953663826
sample_00002,16,23,block_out,0.765582263469696,0.6587705016136169,898.5125732421875,1.1490046977996826
sample_00002,16,27,block_out,0.8091710209846497,0.5936753749847412,1088.3211669921875,1.805679202079773
sample_00002,16,31,block_out,0.7872930765151978,0.6577814817428589,822.0181884765625,3.4414238929748535
sample_00002,16,8,block_out,0.9868994355201721,0.1677686721086502,216.2559814453125,0.11516334116458893
sample_00002,32,16,block_out,0.8887934684753418,0.4610857367515564,417.718505859375,0.5712152719497681
sample_00002,32,1,block_out,0.9886488318443298,0.1560813933610916,25.755859375,0.016491124406456947
sample_00002,32,23,block_out,0.7636383175849915,0.6616715788841248,802.371337890625,1.1622257232666016
sample_00002,32,27,block_out,0.7956737875938416,0.6135312914848328,978.28076171875,1.86285400390625
sample_00002,32,31,block_out,0.7622316479682922,0.68999183177948,619.45849609375,3.558067560195923
sample_00002,32,8,block_out,0.9845218658447266,0.18230517208576202,178.17626953125,0.12446524947881699
