sample,step,layer,module,base_mean,base_max,base_p99,base_p999,base_p9999,base_top001_mean,base_max_over_p9999,base_max_over_mean,exp13_mean,exp13_max,exp13_p99,exp13_p999,exp13_p9999,exp13_top001_mean,exp13_max_over_p9999,exp13_max_over_mean,delta_max,ratio_max,delta_p9999,ratio_p9999,delta_top001_mean,ratio_top001_mean
sample_00000,0,16,attn_out_INPUT,0.21598896384239197,5.0078125,1.2373046875,1.9990234375,2.87890625,2.377451181411743,1.7394843901586432,23.185500680484836,0.1968833953142166,4.55859375,1.078125,1.7763671875,2.5234375,2.113298177719116,1.8065015408287246,23.15377338544455,-0.44921875,0.9102964100387216,-0.35546875,0.87652645557136,-0.26415300369262695,0.8888923504941562
sample_00000,0,16,ff_out_INPUT,0.10671629011631012,31.03125,0.61572265625,1.89453125,4.49609375,3.010424852371216,6.901824485083692,290.7826636247606,0.11627885699272156,22.4375,0.64111328125,1.7568359375,3.837890625,2.6386537551879883,5.8463104173368405,192.96283650067272,-8.59375,0.7230614297770598,-0.658203125,0.853605558483727,-0.37177109718322754,0.8765054355515802
sample_00000,0,16,ff_proj_INPUT,0.3287765085697174,19.514057159423828,1.118291974067688,2.580214500427246,12.15869140625,6.324736595153809,1.604947151906778,59.35356102776498,0.34580087661743164,18.53125,1.17578125,2.462890625,11.984375,6.157607555389404,1.5462842229600757,53.589365201661835,-0.9828071594238281,0.9496359388060127,-0.17431640625,0.9856632255657851,-0.1671290397644043,0.9735753344055124
sample_00000,0,16,q_proj_INPUT,0.39068326354026794,33.13444137573242,1.431869626045227,5.681672096252441,17.96532440185547,9.971061706542969,1.8443553044812664,84.8115177173492,0.41346120834350586,31.359375,1.50390625,5.4375,17.609375,9.589529991149902,1.7808340717482396,75.84598895547795,-1.7750663757324219,0.9464283593899139,-0.35594940185546875,0.9801868642226925,-0.3815317153930664,0.9617360982973289
sample_00000,0,16,up_proj_INPUT,0.3287765085697174,19.514057159423828,1.118291974067688,2.580214500427246,12.15869140625,6.324736595153809,1.604947151906778,59.35356102776498,0.34580087661743164,18.53125,1.17578125,2.462890625,11.984375,6.157607555389404,1.5462842229600757,53.589365201661835,-0.9828071594238281,0.9496359388060127,-0.17431640625,0.9856632255657851,-0.1671290397644043,0.9735753344055124
sample_00000,0,1,attn_out_INPUT,0.018133390694856644,1.8857421875,0.1783447265625,0.53564453125,0.91015625,0.6796130537986755,2.0718883892530715,103.99274902886096,0.018134821206331253,1.888671875,0.1783447265625,0.53564453125,0.91064453125,0.6797534227371216,2.073994615294686,104.14609617875156,0.0029296875,1.0015535938602234,0.00048828125,1.0005364696936765,0.00014036893844604492,1.0002065277227918
sample_00000,0,1,ff_out_INPUT,0.006002599373459816,6.546875,0.060516357421875,0.2108154296875,0.65283203125,0.4032689332962036,10.028421686326045,1090.6715051201936,0.006003161892294884,6.546875,0.060546875,0.2108154296875,0.65283203125,0.4033064544200897,10.028421686326045,1090.569305270596,0.0,0.9999999984725537,0.0,0.9999999846821244,3.75211238861084e-05,1.000093017636269
sample_00000,0,1,ff_proj_INPUT,0.04301730543375015,4.843870162963867,0.2693271040916443,0.9072211980819702,2.5816969871520996,1.518267035484314,1.8762349603021569,112.60279992190088,0.04301825538277626,4.84375,0.269287109375,0.9072265625,2.58203125,1.5183683633804321,1.8759455297996663,112.59752007432988,-0.0001201629638671875,0.9999751907132982,0.0003342628479003906,1.0001294702082657,0.00010132789611816406,1.0000667325925432
sample_00000,0,1,q_proj_INPUT,0.02956102229654789,14.396148681640625,0.38983529806137085,2.4359302520751953,13.2650728225708,6.18004846572876,1.085267217402124,486.9974951220426,0.02956070937216282,14.3984375,0.389892578125,2.4375,13.265625,6.180456161499023,1.085394581042812,487.0800780835846,0.002288818359375,1.000158987546489,0.0005521774291992188,1.0000416256613265,0.0004076957702636719,1.0000659680537887
sample_00000,0,1,up_proj_INPUT,0.04301730543375015,4.843870162963867,0.2693271040916443,0.9072211980819702,2.5816969871520996,1.518267035484314,1.8762349603021569,112.60279992190088,0.04301825538277626,4.84375,0.269287109375,0.9072265625,2.58203125,1.5183683633804321,1.8759455297996663,112.59752007432988,-0.0001201629638671875,0.9999751907132982,0.0003342628479003906,1.0001294702082657,0.00010132789611816406,1.0000667325925432
sample_00000,0,23,attn_out_INPUT,0.30390772223472595,6.125,1.55078125,2.54296875,3.64453125,3.007905960083008,1.6806002097509791,20.15414334792015,0.2968176603317261,5.66796875,1.439453125,2.3984375,3.33984375,2.8217709064483643,1.6970760183105094,19.09579286053094,-0.45703125,0.9253826515503957,-0.3046875,0.9163987113119179,-0.18613505363464355,0.9381180577165759
sample_00000,0,23,ff_out_INPUT,0.16335099935531616,41.0,1.0400390625,3.169921875,8.0390625,5.224209785461426,5.10009717538569,250.9932455380061,0.1864820122718811,34.5,1.1845703125,3.05859375,6.98046875,4.66590690612793,4.94236149263993,185.00442873630357,-6.5,0.8414634144289114,-1.05859375,0.8683187549937337,-0.5583028793334961,0.8931316101013925
sample_00000,0,23,ff_proj_INPUT,0.4446032643318176,28.748655319213867,1.5026168823242188,4.7370285987854,14.439098358154297,8.862272262573242,1.9910284275519283,64.66136661368374,0.4837903082370758,25.671875,1.625,4.6875,12.8984375,8.288762092590332,1.9903089021516682,53.06405281847703,-3.076780319213867,0.8929765481557219,-1.5406608581542969,0.8932993716870677,-0.5735101699829102,0.9352863281172485
sample_00000,0,23,q_proj_INPUT,0.4785327613353729,50.400882720947266,1.6477127075195312,8.169445991516113,16.52968978881836,12.092857360839844,3.0491124355249677,105.32378499449626,0.5250378251075745,48.28125,1.8017578125,7.625,15.625,11.312344551086426,3.0899999980224,91.95765861351249,-2.1196327209472656,0.9579445316015117,-0.9046897888183594,0.9452687975497863,-0.780512809753418,0.9354567083842805
sample_00000,0,23,up_proj_INPUT,0.4446032643318176,28.748655319213867,1.5026168823242188,4.7370285987854,14.439098358154297,8.862272262573242,1.9910284275519283,64.66136661368374,0.4837903082370758,25.671875,1.625,4.6875,12.8984375,8.288762092590332,1.9903089021516682,53.06405281847703,-3.076780319213867,0.8929765481557219,-1.5406608581542969,0.8932993716870677,-0.5735101699829102,0.9352863281172485
sample_00000,0,27,attn_out_INPUT,0.31037864089012146,9.2734375,1.951171875,3.486328125,6.53125,4.609127044677734,1.4198564571562007,29.87782011876497,0.34213757514953613,8.78125,2.04296875,3.591796875,6.4765625,4.699679851531982,1.355850420101944,25.665844330321175,-0.4921875,0.946925020040384,-0.0546875,0.9916267927400929,0.09055280685424805,1.0196464093482402
sample_00000,0,27,ff_out_INPUT,0.2270316332578659,147.5,1.7783203125,6.640625,18.71875,11.83183479309082,7.879799661900607,649.6891705640668,0.22534437477588654,134.25,1.73828125,6.53125,18.234375,11.529211044311523,7.362467862286222,595.7548049556091,-13.25,0.9101694914637173,-0.484375,0.9741235387116535,-0.3026237487792969,0.9744229222419296
sample_00000,0,27,ff_proj_INPUT,0.5866062641143799,19.347291946411133,2.02302885055542,5.10345458984375,11.654478073120117,7.663659572601318,1.6600736479510807,32.98173374572309,0.5953243970870972,19.09375,2.04296875,5.07421875,11.9765625,7.7112226486206055,1.5942596203257322,32.072849311562905,-0.2535419464111328,0.9868952224950988,0.3220844268798828,1.0276361081622674,0.04756307601928711,1.006206312468167
sample_00000,0,27,q_proj_INPUT,0.5693256855010986,41.60775375366211,1.9622944593429565,8.47602367401123,19.3200740814209,13.764110565185547,2.153602183758606,73.08251512702331,0.584570586681366,41.0,2.00390625,8.3828125,20.015625,13.719616889953613,2.0483996867205496,70.13695220518937,-0.6077537536621094,0.9853932570569842,0.6955509185791016,1.0360014617587807,-0.044493675231933594,0.9967674129767492
sample_00000,0,27,up_proj_INPUT,0.5866062641143799,19.347291946411133,2.02302885055542,5.10345458984375,11.654478073120117,7.663659572601318,1.6600736479510807,32.98173374572309,0.5953243970870972,19.09375,2.04296875,5.07421875,11.9765625,7.7112226486206055,1.5942596203257322,32.072849311562905,-0.2535419464111328,0.9868952224950988,0.3220844268798828,1.0276361081622674,0.04756307601928711,1.006206312468167
sample_00000,0,31,attn_out_INPUT,0.8393977880477905,15.125,3.85546875,6.015625,8.2109375,6.950523376464844,1.8420551832941667,18.018870236706135,0.8887102603912354,15.8359375,3.994140625,6.23828125,8.6015625,7.284270286560059,1.8410535855072219,17.819010342964273,0.7109375,1.0470041315391707,0.390625,1.0475737380200814,0.33374691009521484,1.0480175206294737
sample_00000,0,31,ff_out_INPUT,0.6645764708518982,495.75,8.703125,27.828125,50.78125,38.213043212890625,9.762461536539085,745.9638044435679,0.6734718084335327,476.75,8.84375,28.59375,53.0625,39.267723083496094,8.984687866386867,707.8989602102439,-19.0,0.9616742309437887,2.28125,1.0449230767173074,1.0546798706054688,1.0275999965366194
sample_00000,0,31,ff_proj_INPUT,0.7055570483207703,59.216888427734375,2.5503649711608887,9.07199478149414,26.242942810058594,15.890889167785645,2.256488109346959,83.92926940405202,0.7049897313117981,59.28125,2.53515625,8.8515625,25.34375,15.78075885772705,2.339087545316266,84.08810302642614,0.064361572265625,1.0010868784896272,-0.8991928100585938,0.9657358236755634,-0.11013031005859375,0.9930695936000518
sample_00000,0,31,q_proj_INPUT,0.7041094303131104,33.13599395751953,2.4709513187408447,6.8185930252075195,16.34605598449707,11.624902725219727,2.027155294749683,47.060857389987966,0.7095791697502136,29.78125,2.470703125,6.71875,16.671875,11.55078125,1.7863167749360422,41.97029852325093,-3.3547439575195312,0.8987583118584609,0.3258190155029297,1.019932576128004,-0.07412147521972656,0.9936239049127557
sample_00000,0,31,up_proj_INPUT,0.7055570483207703,59.216888427734375,2.5503649711608887,9.07199478149414,26.242942810058594,15.890889167785645,2.256488109346959,83.92926940405202,0.7049897313117981,59.28125,2.53515625,8.8515625,25.34375,15.78075885772705,2.339087545316266,84.08810302642614,0.064361572265625,1.0010868784896272,-0.8991928100585938,0.9657358236755634,-0.11013031005859375,0.9930695936000518
