sample,step,layer,module,mean,max,p99,p999,p9999,top001_mean,massive_score_1,massive_score_2
sample_00001,16,16,ff_out_INPUT,0.10416904836893082,27.984375,0.59716796875,1.828125,4.375,2.89359974861145,6.396428556808163,268.6438318458156
sample_00001,16,23,ff_out_INPUT,0.16338825225830078,48.9375,1.04296875,3.158203125,8.0234375,5.206554412841797,6.099318395513994,299.51661963718436
sample_00001,16,27,ff_out_INPUT,0.22614923119544983,120.5625,1.798828125,6.51171875,17.46875,11.286982536315918,6.901610013938255,533.1103450212494
sample_00001,16,31,ff_out_INPUT,0.6427513360977173,484.5,8.3359375,26.40625,47.4375,36.340457916259766,10.213438733024836,753.7907200685062
sample_00001,32,1,ff_out_INPUT,0.006096451077610254,6.578125,0.061279296875,0.21142578125,0.65478515625,0.41004982590675354,10.04623400018876,1079.0071348374051
sample_00001,32,8,ff_out_INPUT,0.03794925659894943,13.015625,0.2288818359375,0.671875,1.9501953125,1.2126606702804565,6.6740109823025175,342.97434882075737
sample_00001,32,16,ff_out_INPUT,0.10374080389738083,28.4375,0.59375,1.8125,4.36328125,2.873706102371216,6.517457460443428,274.12065639016515
sample_00001,32,23,ff_out_INPUT,0.16360396146774292,49.34375,1.0478515625,3.158203125,7.98046875,5.201204299926758,6.183064113642367,301.60484221331325
sample_00001,32,27,ff_out_INPUT,0.2258547991514206,119.75,1.7919921875,6.44921875,17.3125,11.229491233825684,6.91696750502991,530.2078820013774
sample_00001,32,31,ff_out_INPUT,0.6440356969833374,490.5,8.3359375,26.359375,47.40625,36.48584747314453,10.346736978700754,761.6037351368319
sample_00001,63,1,ff_out_INPUT,0.006145532708615065,6.7578125,0.061737060546875,0.211181640625,0.65625,0.40952977538108826,10.29761889070295,1099.6282705067904
sample_00001,63,8,ff_out_INPUT,0.03736262395977974,13.328125,0.2265625,0.66455078125,1.9248046875,1.2008696794509888,6.924403819936127,356.7233780773461
sample_00001,63,16,ff_out_INPUT,0.10256794095039368,28.53125,0.5859375,1.7734375,4.203125,2.7986507415771484,6.788104073069195,278.1692500983953
sample_00001,63,23,ff_out_INPUT,0.1645842343568802,51.3125,1.05078125,3.15625,7.7734375,5.150134086608887,6.601005016633883,311.77042614562373
sample_00001,63,27,ff_out_INPUT,0.23066359758377075,123.75,1.859375,6.54296875,17.34375,11.275779724121094,7.135135131021183,536.4955542675165
sample_00001,63,31,ff_out_INPUT,0.6481454968452454,494.5,8.2890625,25.75,47.71875,37.08494186401367,10.362802879295288,762.9459662644385
sample_00002,0,1,ff_out_INPUT,0.006168505642563105,6.5,0.061614990234375,0.21142578125,0.654296875,0.40958359837532043,9.934328206376835,1053.73810761695
