step,layer,p9999_mean,top001_mean,max_mean,massive1_mean
0,1,0.7030701754385965,0.4343980388683185,6.001987390350878,8.568315872320682
0,8,2.5123149671052634,1.5526322532118413,23.292105263157893,9.241762399698384
0,16,4.2618146929824565,2.8562468637499894,27.660252192982455,6.494381664033099
0,23,8.072162828947368,5.199548299689042,43.70882675438597,5.412897313036624
0,27,20.187774122807017,12.726842291313305,151.65197368421053,7.5186997902921355
0,31,51.91063596491228,39.247340245832476,497.6061403508772,9.616059703261156
4,1,0.7082836485745614,0.4361159231579095,6.00453673245614,8.510898003912553
4,8,2.5061060855263158,1.5488665501276653,23.23234649122807,9.240091774810148
4,16,4.263253837719298,2.8535992036785998,27.967872807017542,6.565723859784423
4,23,7.97436951754386,5.157667784105268,44.19961622807018,5.53853870631558
4,27,19.432894736842105,12.36411663189269,142.20899122807018,7.321129472401671
4,31,49.09100877192982,37.49206004895662,490.75350877192983,10.042159195248473
16,1,0.7140162417763158,0.4366123794463643,6.019284539473684,8.464829271097337
16,8,2.5059861567982455,1.548621296464351,23.18358004385965,9.222646779816213
16,16,4.259765625,2.8504679704967297,27.86940789473684,6.549213913986238
16,23,7.945079495614035,5.1416717546028,44.33728070175439,5.57690699008863
16,27,19.066940789473684,12.168931164657861,137.49649122807017,7.2167374331622645
16,31,48.62872807017544,37.19466853894686,491.08508771929826,10.139834458665344
32,1,0.7124657346491228,0.4360892453737426,6.043078399122807,8.514364429121667
32,8,2.509556606359649,1.5509608875241196,23.12546600877193,9.188199460264286
32,16,4.261924342105263,2.8476382146801864,27.872313596491228,6.546127423040101
32,23,7.974862938596491,5.16375568958751,44.505592105263155,5.578759304682769
32,27,18.593475877192983,11.92720707675867,133.11995614035087,7.15796683302874
32,31,47.78760964912281,36.669047064530226,491.1771929824561,10.308232168353554
63,1,0.7073396381578947,0.43153327975356787,6.158237390350878,8.730901945580401
63,8,2.4983107182017545,1.5426330215052555,22.953125,9.159042955772389
63,16,4.130215186403508,2.762552514829134,28.16781798245614,6.829586819450452
63,23,7.832373903508772,5.115340452026903,45.74309210526316,5.83696651463767
63,27,17.85285087719298,11.537855653595505,124.57434210526316,6.97606532712508
63,31,46.97719298245614,36.387908721388435,489.45877192982454,10.445211570959113
