step,layer,p9999_mean,top001_mean,max_mean,massive1_mean
0,1,0.6784933525219298,0.42940983835019564,5.771833881578948,8.534249649931153
0,8,2.346984649122807,1.4776775058947111,20.037746710526317,8.522493681212815
0,16,4.231297971491228,2.834368774347138,27.183059210526316,6.429649330055142
0,23,7.988267543859649,5.149174896039461,42.776973684210525,5.353185362544768
0,27,17.371326754385965,11.209041859810812,119.00350877192983,6.858733883206608
0,31,50.55131578947368,38.597339001036524,467.6824561403509,9.269755897115926
4,1,0.6835012335526316,0.43100959721364474,5.767242324561403,8.466475911877422
4,8,2.341995614035088,1.472790075185006,19.968174342105264,8.511674524090722
4,16,4.230729166666666,2.8309555304677865,27.528399122807016,6.514230525132921
4,23,7.953632127192982,5.137858367384526,43.342269736842105,5.447480517377105
4,27,16.956441885964914,11.000793149178488,114.26732456140351,6.743692313588203
4,31,48.86173245614035,37.53987975538823,465.2280701754386,9.548056386732657
16,1,0.6840135005482456,0.4303008779099113,5.762266995614035,8.45080028443845
16,8,2.3332819353070176,1.467131657349436,19.893064692982456,8.510574564037006
16,16,4.232257401315789,2.828833196037694,27.373958333333334,6.475552129732683
16,23,7.902535635964912,5.109180893814354,43.63640350877193,5.520835790302798
16,27,16.698930921052632,10.862452814871805,111.1061403508772,6.6623961661005
16,31,48.26513157894737,37.16227109139426,464.82105263157894,9.654989693994626
32,1,0.6806383634868421,0.4282104534015321,5.760855263157895,8.490040312834244
32,8,2.3312054550438597,1.4664183662648786,19.854166666666668,8.50249872663475
32,16,4.222916666666666,2.818121905075876,27.465350877192982,6.513105934076723
32,23,7.930222039473684,5.135132449969911,43.726206140350875,5.5154212388531025
32,27,16.343229166666667,10.693978309631348,108.54978070175439,6.6465235480879
32,31,47.791228070175436,36.83150794045967,465.45175438596493,9.765450775388999
63,1,0.6614720394736842,0.4216394577110023,5.821655701754386,8.816706983696738
63,8,2.3101528234649122,1.4509327085394608,19.54890350877193,8.450401131383016
63,16,4.039583333333334,2.701810470380281,27.760964912280702,6.882299528624701
63,23,7.753700657894737,5.067486251027961,44.832839912280704,5.78263854643795
63,27,15.6546875,10.373534102188913,100.67828947368422,6.42972414984225
63,31,46.67741228070175,35.95093035781593,462.5140350877193,9.933689284770578
